repo,releases,pulls,open_issues,branches,workflows,has_release_workflow,w_simplicity,tests
arconia-io/arconia,5,0.0,9,1,1,0.0,-1.4,0.0
linux-china/sieve-cache,1,0.0,1,1,0,0.0,1.0,3.0
CleanroomMC/Fugue,62,12.0,4,1,2,1.0,-3.3,0.0
xyzeva/ender-relay,3,0.0,2,1,1,0.0,-0.65,0.0
dnwwdwd/homieMatching,0,2.0,2,2,0,0.0,1.0,11.0
MirnaGama/hospital-management-api,0,11.0,0,12,1,0.0,-0.65,93.0
stuetzlec/merrimack_cs_examples,0,0.0,0,1,0,0.0,1.0,0.0
lgdd/liferay-client-extensions-samples,0,1.0,0,1,1,0.0,-1.15,0.0
MehVahdJukaar/polytone,0,7.0,30,9,0,0.0,1.0,0.0
sameh-tarek/Fawry-Internship,0,4.0,0,2,0,0.0,1.0,16.0
Apress/ChatGPT-for-Java,1,0.0,0,1,0,0.0,1.0,0.0
koupleless/koupleless,19,90.0,84,16,1,0.0,-0.4,0.0
alegian/thaumcraft7,0,2.0,0,1,1,0.0,-0.4,0.0
d1tto/Rengar,0,0.0,1,1,0,0.0,1.0,0.0
Rozmir-Rohi/mo-creatures-legacy,1,24.0,1,1,1,0.0,-0.9,0.0
sidduganeshsid/Core-Java,0,1.0,0,2,0,0.0,1.0,0.0
frc-862/rhapsody,5,247.0,16,14,2,0.0,-1.95,0.0
MincraftEinstein/SubtleEffects,0,4.0,9,2,0,0.0,1.0,0.0
begcode/begcode-admin,0,0.0,1,1,0,0.0,1.0,2044.0
6tail/tyme4j,17,3.0,4,1,0,0.0,1.0,334.0
JAgentSphere/bytebuddy-agent-demo,4,0.0,2,3,0,0.0,1.0,0.0
simasch/cqrs-meets-modern-java,0,0.0,0,2,0,0.0,1.0,5.0
mt1006/mc-ar-mod,1,0.0,5,3,0,0.0,1.0,0.0
ArtformGames/BungeeAuthProxy,5,0.0,0,1,2,1.0,-2.55,0.0
seregamorph/spring-test-smart-context,8,13.0,0,3,0,0.0,1.0,81.0
